Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.ca-bc.client.json	36063	-	0	0	0	0	0	0	19	77	0	0	0	0	0	0	0	1	0	0	152	216	0	0	0	12	0	5
fsh-generated/resources/Bundle-AddNewbornByMumsPHN-Request.json	3087	3	15	0	1	0	0	0	1	519	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-AddPatient-Request.json	4107	2	2	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/Bundle-AddPatient-Response.json	3830	1	4	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-COMP-Distribution-Notification.json	6321	2	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-FindCandidates-Request.json	1838	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/Bundle-FindCandidates-Response.json	16382	4	7	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	28	25	0	0	0	0	0	1
fsh-generated/resources/Bundle-FindNewbornByMumsPHN-Request.json	1977	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-FindNewbornByMumsPHN-Response.json	15170	3	5	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	35	36	0	0	0	0	0	0
fsh-generated/resources/Bundle-GetDemographics-Request-By-SSRI.json	1967	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/Bundle-GetDemographics-Request.json	1647	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	1
fsh-generated/resources/Bundle-GetDemographics-Response-Masked.json	5394	1	2	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/Bundle-GetDemographics-Response.json	9367	2	2	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	20	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-GetDemographics-withHistory-Request.json	1700	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Bundle-GetDemographics-withHistory-Response.json	14565	2	2	0	1	0	0	0	2	5	0	0	0	0	0	0	0	1	0	0	20	26	0	0	0	0	0	1
fsh-generated/resources/Bundle-GetDemographics-withPHNInfo-Response.json	34731	8	7	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	34	41	0	0	0	0	0	1
fsh-generated/resources/Bundle-NEW-Distribution-Notification.json	4523	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	1
